2under.ru	89.208.144.0/20
actionads.ru	62.210.128.0/20
actionpay.ru	178.248.236.0/24
adcash.com	72.52.128.0/17
adinfo.ru	5.187.2.0/23
admitad.com	212.224.118.0/24
adpro.ru	91.228.152.0/22
adspynet.com	217.29.0.0/16
advaction.ru	193.106.92.0/22
advertstar.ru	108.162.192.0/18
advmaker.net	148.248.0.0/13
adwad.ru	82.146.40.0/21
afrek.ru	91.228.152.0/22
bs.yandex.ru	87.250.250.0/24
bs.yandex.ru 2	93.158.134.0/24
clobucks.com	37.139.0.0/16
cpaexchange.ru	144.76.0.0/16
cpaua.com.ua	217.70.176.0/20
directadvert.ru	82.194.224.0/19
direct.yandex.ru	213.180.204.0/24
doubleclick.net	70.32.128.0/19
exelo.ru	5.187.5.0/24
gdeslon.ru	176.9.0.0/16
himba.ru	89.249.16.0/20
hotpartner.biz	5.187.0.0/24
leadgid.ru	88.198.0.0/16
leads.su	144.76.0.0/16
marketgid.ru	87.242.0.0/16
mastertarget.ru	213.174.41.0/24
miralinks.ru	37.18.61.0/24
mixmarket.biz	89.249.16.0/20
myragon.ru	188.138.0.0/16
onclickads.net	78.140.128.0/18
primelead.com.ua	194.28.84.0/22
privatteaser.ru	95.211.0.0/16
qxplus.ru	89.108.120.0/24
rareru.ru	144.76.0.0/16
salesdoubler.com.ua	50.16.0.0/14
SAPE-DNS	185.12.126.0/24
SAPE-NET	193.232.0.0/16
sape.ru	188.72.64.0/19
scorecardresearch.com	165.193.0.0/16
tns-counter.ru	194.226.131.227
tradeleads.su	144.76.0.0/16
